id,name,location,station_type,power_kw,price_per_kwh,service_fee,status,install_date,operator_name,contact_phone,total_sessions,total_energy_kwh,total_income,latitude,longitude,remark
246,交流慢充-0246号桩,西安邮电大学雁塔校区,交流慢充,10.0,1.51,0.51,0,2022-03-15,星星充电,029-0196-3791,66,204.60,413.29,34.228600,108.963303,雁塔校区实验楼停车场
247,直流快充-0247号桩,西安邮电大学东区,直流快充,159.0,1.56,0.68,2,2024-03-03,星星充电,029-3519-8068,154,9794.40,21939.46,34.237301,108.934799,东区图书馆停车场
248,直流快充-0248号桩,西安邮电大学西区,直流快充,74.0,1.50,0.55,1,2024-09-02,国家电网,029-4049-2845,14,642.32,1316.76,34.238903,108.931404,西区宿舍停车场
249,直流快充-0249号桩,西安邮电大学雁塔校区,直流快充,111.0,0.98,0.54,2,2023-10-12,星星充电,029-5706-8446,418,32014.62,48662.22,34.224102,108.959801,雁塔校区地下停车场
250,交流慢充-0250号桩,西安邮电大学东区,交流慢充,11.0,1.56,0.57,0,2025-03-28,校园能源管理中心,029-3355-1339,293,1095.82,2334.10,34.239101,108.934502,东区B区停车场
251,双枪充电-0251号桩,西安邮电大学西区,双枪充电,219.0,0.97,0.66,0,2022-12-12,星星充电,029-3062-1851,67,11298.21,18416.08,34.235001,108.930107,西区1号停车场
252,双枪充电-0252号桩,西安邮电大学雁塔校区,双枪充电,164.0,1.43,0.33,0,2023-11-24,星星充电,029-7260-3571,416,36840.96,64840.09,34.226803,108.958305,雁塔校区学生服务中心
253,直流快充-0253号桩,西安邮电大学东区,直流快充,95.0,1.31,0.55,0,2022-09-23,国家电网,029-0542-2134,274,11973.80,22271.27,34.241501,108.933105,东区B区停车场
254,交流慢充-0254号桩,西安邮电大学西区,交流慢充,10.0,0.89,0.62,1,2022-07-15,特来电,029-0987-0170,550,3795.00,5730.45,34.238701,108.927902,西区宿舍停车场
255,交流慢充-0255号桩,西安邮电大学雁塔校区,交流慢充,14.0,1.27,0.39,0,2023-10-01,校园能源管理中心,029-5335-7781,338,3643.64,6048.44,34.228401,108.955200,雁塔校区学生服务中心
256,双枪充电-0256号桩,西安邮电大学东区,双枪充电,233.0,1.45,0.34,1,2024-02-22,校园能源管理中心,029-7537-4715,593,100863.38,180545.45,34.240101,108.928505,东区图书馆停车场
257,双枪充电-0257号桩,西安邮电大学西区,双枪充电,233.0,1.56,0.48,0,2021-09-26,特来电,029-1787-9153,480,68222.40,139173.69,34.236103,108.933105,西区行政楼停车场
258,双枪充电-0258号桩,西安邮电大学雁塔校区,双枪充电,138.0,1.27,0.67,0,2021-04-10,云快充,029-3221-9884,358,37053.00,71882.82,34.229900,108.954704,雁塔校区南门停车场
259,双枪充电-0259号桩,西安邮电大学东区,双枪充电,201.0,1.32,0.67,0,2021-03-05,校园能源管理中心,029-3713-9553,15,964.80,1919.95,34.234303,108.933205,东区图书馆停车场
260,交流慢充-0260号桩,西安邮电大学西区,交流慢充,8.0,1.06,0.58,0,2021-05-22,星星充电,029-0431-1301,455,2038.40,3342.98,34.242500,108.931107,西区实验楼停车场
261,双枪充电-0261号桩,西安邮电大学雁塔校区,双枪充电,196.0,1.26,0.40,0,2022-09-11,国家电网,029-1009-1389,477,53290.44,88462.12,34.222401,108.958000,雁塔校区地下停车场
262,交流慢充-0262号桩,西安邮电大学东区,交流慢充,15.0,1.24,0.39,0,2025-01-01,特来电,029-2104-9231,116,1078.80,1758.44,34.241600,108.931999,东区体育场停车场
263,双枪充电-0263号桩,西安邮电大学西区,双枪充电,159.0,1.14,0.63,0,2024-09-04,星星充电,029-2420-7247,594,74612.34,132063.83,34.242100,108.930305,西区实验楼停车场
264,直流快充-0264号桩,西安邮电大学雁塔校区,直流快充,110.0,1.08,0.49,1,2021-12-22,校园能源管理中心,029-6182-3042,564,22334.40,35065.01,34.227402,108.958206,雁塔校区实验楼停车场
265,双枪充电-0265号桩,西安邮电大学东区,双枪充电,156.0,1.04,0.39,0,2022-09-28,国家电网,029-6161-7117,119,6311.76,9025.82,34.237904,108.935501,东区体育场停车场
266,双枪充电-0266号桩,西安邮电大学西区,双枪充电,134.0,1.46,0.58,0,2022-10-06,校园能源管理中心,029-4996-7813,312,17977.44,36673.98,34.238903,108.926506,西区宿舍停车场
267,直流快充-0267号桩,西安邮电大学雁塔校区,直流快充,117.0,1.20,0.66,1,2021-11-07,星星充电,029-4832-0095,60,2878.20,5353.45,34.227200,108.959099,雁塔校区地下停车场
268,交流慢充-0268号桩,西安邮电大学东区,交流慢充,21.0,1.34,0.56,0,2021-07-21,校园能源管理中心,029-5879-7728,464,3020.64,5739.22,34.234303,108.934204,东区A区停车场
269,双枪充电-0269号桩,西安邮电大学西区,双枪充电,124.0,1.38,0.46,0,2025-05-04,校园能源管理中心,029-6042-0990,416,37140.48,68338.48,34.239803,108.929306,西区实验楼停车场
270,交流慢充-0270号桩,西安邮电大学雁塔校区,交流慢充,9.0,1.29,0.52,0,2022-11-07,云快充,029-6713-7149,515,1854.00,3355.74,34.222103,108.954300,雁塔校区北门停车场
271,直流快充-0271号桩,西安邮电大学东区,直流快充,123.0,1.34,0.36,1,2021-10-12,星星充电,029-0710-0945,276,24442.56,41552.35,34.238003,108.934402,东区B区停车场
272,交流慢充-0272号桩,西安邮电大学西区,交流慢充,7.0,1.21,0.62,0,2023-02-24,星星充电,029-4225-9537,249,749.49,1371.57,34.236000,108.933304,西区2号停车场
273,直流快充-0273号桩,西安邮电大学雁塔校区,直流快充,77.0,0.85,0.51,0,2025-02-03,云快充,029-0300-1282,255,7068.60,9613.30,34.227303,108.962402,雁塔校区北门停车场
274,交流慢充-0274号桩,西安邮电大学东区,交流慢充,9.0,1.51,0.61,1,2024-09-23,校园能源管理中心,029-0151-4071,475,2864.25,6072.21,34.235500,108.934105,东区体育场停车场
275,双枪充电-0275号桩,西安邮电大学西区,双枪充电,201.0,0.93,0.61,1,2024-01-17,校园能源管理中心,029-7892-7958,290,26813.40,41292.64,34.239101,108.927704,西区宿舍停车场
276,双枪充电-0276号桩,西安邮电大学雁塔校区,双枪充电,162.0,1.31,0.67,1,2025-02-02,国家电网,029-2308-9029,161,10693.62,21173.37,34.220100,108.962601,雁塔校区学生服务中心
277,双枪充电-0277号桩,西安邮电大学东区,双枪充电,184.0,1.35,0.40,0,2025-02-10,特来电,029-6039-9879,277,37206.64,65111.62,34.240101,108.927605,东区B区停车场
278,双枪充电-0278号桩,西安邮电大学西区,双枪充电,137.0,1.50,0.46,2,2021-07-07,星星充电,029-9055-0099,130,11754.60,23039.02,34.242100,108.927605,西区1号停车场
279,交流慢充-0279号桩,西安邮电大学雁塔校区,交流慢充,12.0,1.08,0.38,0,2024-07-05,特来电,029-6140-9517,167,701.40,1024.04,34.223801,108.962700,雁塔校区地下停车场
280,交流慢充-0280号桩,西安邮电大学东区,交流慢充,19.0,0.86,0.55,0,2025-10-07,星星充电,029-4832-0378,63,694.26,978.91,34.242001,108.931503,东区B区停车场
281,交流慢充-0281号桩,西安邮电大学西区,交流慢充,16.0,0.82,0.37,0,2022-04-16,校园能源管理中心,029-2908-5056,104,1314.56,1564.33,34.236401,108.926804,西区行政楼停车场
282,双枪充电-0282号桩,西安邮电大学雁塔校区,双枪充电,220.0,1.25,0.54,0,2025-05-05,校园能源管理中心,029-1856-4834,431,57840.20,103533.96,34.224201,108.955902,雁塔校区学生服务中心
283,交流慢充-0283号桩,西安邮电大学东区,交流慢充,12.0,1.47,0.69,1,2021-11-09,特来电,029-8830-6550,521,2875.92,6211.99,34.242702,108.929802,东区A区停车场
284,双枪充电-0284号桩,西安邮电大学西区,双枪充电,240.0,1.29,0.67,1,2022-02-11,校园能源管理中心,029-2886-1378,331,38131.20,74737.16,34.235302,108.929306,西区1号停车场
285,直流快充-0285号桩,西安邮电大学雁塔校区,直流快充,151.0,1.17,0.32,1,2023-05-21,校园能源管理中心,029-2474-1466,378,30251.34,45074.50,34.220802,108.954903,雁塔校区实验楼停车场
286,直流快充-0286号桩,西安邮电大学东区,直流快充,132.0,1.24,0.46,0,2024-11-07,校园能源管理中心,029-2298-7027,115,4857.60,8257.92,34.237701,108.929604,东区B区停车场
287,直流快充-0287号桩,西安邮电大学西区,直流快充,80.0,1.14,0.53,0,2023-06-11,校园能源管理中心,029-2952-4674,586,15001.60,25052.67,34.238300,108.924904,西区实验楼停车场
288,双枪充电-0288号桩,西安邮电大学雁塔校区,双枪充电,218.0,1.49,0.54,2,2022-03-18,云快充,029-6709-8972,94,12090.28,24543.27,34.229900,108.961105,雁塔校区南门停车场
289,双枪充电-0289号桩,西安邮电大学东区,双枪充电,217.0,1.45,0.59,0,2025-02-17,特来电,029-9921-0151,586,95371.50,194557.86,34.234501,108.932701,东区行政楼停车场
290,交流慢充-0290号桩,西安邮电大学西区,交流慢充,17.0,1.48,0.36,0,2022-02-08,星星充电,029-8814-9046,501,4599.18,8462.49,34.237103,108.928406,西区行政楼停车场
291,直流快充-0291号桩,西安邮电大学雁塔校区,直流快充,128.0,1.54,0.43,0,2024-06-09,校园能源管理中心,029-9116-4816,474,41256.96,81276.21,34.229103,108.957306,雁塔校区学生服务中心
292,交流慢充-0292号桩,西安邮电大学东区,交流慢充,9.0,0.96,0.56,1,2024-08-01,国家电网,029-1853-0952,327,1883.52,2862.95,34.235802,108.931801,东区行政楼停车场
293,直流快充-0293号桩,西安邮电大学西区,直流快充,102.0,1.33,0.61,0,2022-12-17,星星充电,029-4049-0229,537,22457.34,43567.24,34.234100,108.924004,西区2号停车场
294,双枪充电-0294号桩,西安邮电大学雁塔校区,双枪充电,198.0,0.83,0.50,0,2022-05-21,校园能源管理中心,029-7914-4107,420,57380.40,76315.92,34.226501,108.958504,雁塔校区学生服务中心
295,直流快充-0295号桩,西安邮电大学东区,直流快充,70.0,0.90,0.64,0,2021-02-03,星星充电,029-4313-2592,383,15013.60,23120.94,34.237202,108.931801,东区A区停车场
296,直流快充-0296号桩,西安邮电大学西区,直流快充,96.0,0.84,0.49,0,2022-05-19,特来电,029-8558-7031,158,9100.80,12104.07,34.235302,108.925301,西区行政楼停车场
297,交流慢充-0297号桩,西安邮电大学雁塔校区,交流慢充,13.0,1.29,0.62,0,2023-02-27,国家电网,029-0043-2743,317,2060.50,3935.55,34.222603,108.958702,雁塔校区学生服务中心
298,交流慢充-0298号桩,西安邮电大学东区,交流慢充,21.0,1.39,0.63,0,2025-12-12,校园能源管理中心,029-2496-0115,131,1980.72,4001.05,34.236900,108.935501,东区图书馆停车场
299,双枪充电-0299号桩,西安邮电大学西区,双枪充电,207.0,1.30,0.45,1,2021-10-27,校园能源管理中心,029-1919-8930,331,27406.80,47961.90,34.240501,108.929802,西区2号停车场
300,直流快充-0300号桩,西安邮电大学雁塔校区,直流快充,118.0,1.12,0.42,1,2022-02-08,特来电,029-5145-9464,563,21923.22,33761.76,34.229603,108.955299,雁塔校区地下停车场
301,双枪充电-0301号桩,西安邮电大学东区,双枪充电,135.0,1.01,0.62,0,2025-05-25,特来电,029-6702-6810,104,7160.40,11671.45,34.242702,108.932701,东区图书馆停车场
302,交流慢充-0302号桩,西安邮电大学西区,交流慢充,18.0,1.56,0.35,0,2021-03-27,特来电,029-9071-0285,399,5099.22,9739.51,34.234303,108.927704,西区2号停车场
303,双枪充电-0303号桩,西安邮电大学雁塔校区,双枪充电,131.0,1.46,0.57,0,2025-02-27,国家电网,029-8927-9446,13,936.65,1901.40,34.225300,108.955101,雁塔校区地下停车场
304,双枪充电-0304号桩,西安邮电大学东区,双枪充电,121.0,1.01,0.58,0,2022-11-21,星星充电,029-9084-7963,439,28153.07,44763.38,34.237103,108.928299,东区B区停车场
305,直流快充-0305号桩,西安邮电大学西区,直流快充,106.0,1.45,0.38,1,2024-07-27,星星充电,029-9210-6240,585,44027.10,80569.60,34.236401,108.924606,西区1号停车场
306,交流慢充-0306号桩,西安邮电大学雁塔校区,交流慢充,13.0,1.00,0.55,0,2025-07-01,国家电网,029-6072-9753,10,57.20,88.66,34.227802,108.956001,雁塔校区北门停车场
307,交流慢充-0307号桩,西安邮电大学东区,交流慢充,22.0,1.54,0.69,1,2022-11-26,星星充电,029-8711-5069,277,3473.58,7746.08,34.236000,108.931404,东区B区停车场
308,双枪充电-0308号桩,西安邮电大学西区,双枪充电,236.0,1.45,0.65,0,2025-09-17,校园能源管理中心,029-1465-0320,528,66042.23,138688.69,34.241901,108.926300,西区2号停车场
309,交流慢充-0309号桩,西安邮电大学雁塔校区,交流慢充,9.0,1.50,0.69,0,2022-10-19,校园能源管理中心,029-9135-2919,1,5.13,11.23,34.224602,108.962601,雁塔校区实验楼停车场
310,直流快充-0310号桩,西安邮电大学东区,直流快充,63.0,1.49,0.33,0,2021-11-07,云快充,029-0009-4504,467,15004.71,27308.57,34.236702,108.934402,东区A区停车场
311,双枪充电-0311号桩,西安邮电大学西区,双枪充电,124.0,0.91,0.63,0,2021-08-16,星星充电,029-5497-1414,124,8456.80,13023.47,34.238102,108.924805,西区1号停车场
312,交流慢充-0312号桩,西安邮电大学雁塔校区,交流慢充,22.0,1.50,0.40,0,2025-03-12,国家电网,029-6992-3480,424,4850.56,9216.06,34.223400,108.961700,雁塔校区学生服务中心
313,交流慢充-0313号桩,西安邮电大学东区,交流慢充,13.0,0.83,0.51,2,2024-09-07,云快充,029-8894-5122,6,48.36,64.80,34.241600,108.934402,东区行政楼停车场
314,直流快充-0314号桩,西安邮电大学西区,直流快充,104.0,1.26,0.60,0,2025-07-19,特来电,029-1012-4136,322,11385.92,21177.81,34.242203,108.932800,西区2号停车场
315,直流快充-0315号桩,西安邮电大学雁塔校区,直流快充,85.0,1.48,0.57,0,2022-01-13,星星充电,029-5429-4945,32,1849.60,3791.68,34.220200,108.957504,雁塔校区南门停车场
316,直流快充-0316号桩,西安邮电大学东区,直流快充,173.0,0.83,0.69,0,2023-05-06,星星充电,029-6751-5234,39,4587.96,6973.70,34.238701,108.928802,东区图书馆停车场
317,双枪充电-0317号桩,西安邮电大学西区,双枪充电,240.0,1.20,0.65,0,2024-04-06,校园能源管理中心,029-7286-4734,42,7761.60,14358.96,34.241402,108.926903,西区行政楼停车场
318,直流快充-0318号桩,西安邮电大学雁塔校区,直流快充,136.0,1.43,0.61,0,2021-11-07,星星充电,029-1129-0171,111,5585.52,11394.46,34.221802,108.957199,雁塔校区学生服务中心
319,直流快充-0319号桩,西安邮电大学东区,直流快充,124.0,1.02,0.34,0,2021-11-18,校园能源管理中心,029-2729-0207,67,2990.88,4067.60,34.241302,108.934799,东区A区停车场
320,双枪充电-0320号桩,西安邮电大学西区,双枪充电,198.0,1.21,0.50,0,2021-12-11,特来电,029-5448-9758,531,36798.30,62925.10,34.243000,108.928604,西区宿舍停车场
321,交流慢充-0321号桩,西安邮电大学雁塔校区,交流慢充,13.0,1.49,0.54,0,2023-08-24,国家电网,029-2263-0029,332,1553.76,3154.13,34.226402,108.959900,雁塔校区学生服务中心
322,直流快充-0322号桩,西安邮电大学东区,直流快充,105.0,1.36,0.45,0,2021-08-10,星星充电,029-6022-9441,419,23317.35,42204.40,34.242702,108.936600,东区体育场停车场
323,直流快充-0323号桩,西安邮电大学西区,直流快充,60.0,1.59,0.35,0,2024-08-10,校园能源管理中心,029-0775-1967,12,338.40,656.50,34.238701,108.927605,西区宿舍停车场
324,直流快充-0324号桩,西安邮电大学雁塔校区,直流快充,133.0,0.86,0.38,0,2025-11-12,星星充电,029-9706-4844,14,744.80,923.55,34.227901,108.961403,雁塔校区地下停车场
325,双枪充电-0325号桩,西安邮电大学东区,双枪充电,185.0,1.39,0.41,2,2022-04-26,星星充电,029-2625-8429,548,68938.40,124089.12,34.242702,108.929405,东区B区停车场
326,直流快充-0326号桩,西安邮电大学西区,直流快充,151.0,1.38,0.37,1,2021-05-09,校园能源管理中心,029-9437-3464,349,38997.26,68245.21,34.234703,108.925903,西区行政楼停车场
327,直流快充-0327号桩,西安邮电大学雁塔校区,直流快充,88.0,0.81,0.58,0,2025-02-05,国家电网,029-6558-2001,164,6061.44,8425.40,34.226200,108.956902,雁塔校区实验楼停车场
328,交流慢充-0328号桩,西安邮电大学东区,交流慢充,22.0,1.40,0.50,1,2023-10-20,星星充电,029-8694-0205,479,5058.24,9610.66,34.238403,108.936699,东区体育场停车场
329,双枪充电-0329号桩,西安邮电大学西区,双枪充电,193.0,1.05,0.61,2,2025-08-11,校园能源管理中心,029-3557-2673,547,77066.83,127930.93,34.235703,108.930901,西区宿舍停车场
330,直流快充-0330号桩,西安邮电大学雁塔校区,直流快充,146.0,1.00,0.60,2,2021-06-22,星星充电,029-4269-4610,485,43902.20,70243.52,34.223602,108.956200,雁塔校区实验楼停车场
331,双枪充电-0331号桩,西安邮电大学东区,双枪充电,169.0,1.55,0.33,0,2025-12-03,星星充电,029-3454-2309,538,68191.50,128200.02,34.240501,108.935905,东区A区停车场
332,交流慢充-0332号桩,西安邮电大学西区,交流慢充,14.0,1.54,0.44,0,2024-01-27,校园能源管理中心,029-6266-3631,270,2381.40,4715.17,34.234901,108.930305,西区宿舍停车场
333,直流快充-0333号桩,西安邮电大学雁塔校区,直流快充,84.0,0.95,0.31,0,2024-12-11,云快充,029-3858-0182,136,5140.80,6477.41,34.226402,108.955704,雁塔校区学生服务中心
334,双枪充电-0334号桩,西安邮电大学东区,双枪充电,170.0,1.50,0.66,0,2021-11-11,国家电网,029-5334-8862,163,11638.20,25138.51,34.241802,108.934601,东区行政楼停车场
335,双枪充电-0335号桩,西安邮电大学西区,双枪充电,137.0,0.93,0.63,0,2021-11-05,云快充,029-5688-2971,366,26073.84,40675.19,34.234802,108.930801,西区2号停车场
336,交流慢充-0336号桩,西安邮电大学雁塔校区,交流慢充,21.0,0.97,0.54,0,2023-04-10,特来电,029-9896-6532,84,1217.16,1837.91,34.227402,108.960800,雁塔校区地下停车场
337,交流慢充-0337号桩,西安邮电大学东区,交流慢充,12.0,1.58,0.33,1,2022-09-06,国家电网,029-5944-9230,371,2982.84,5697.22,34.239201,108.928200,东区图书馆停车场
338,双枪充电-0338号桩,西安邮电大学西区,双枪充电,170.0,1.29,0.64,0,2021-01-07,特来电,029-9992-5820,472,45736.80,88272.02,34.233902,108.930801,西区2号停车场
339,双枪充电-0339号桩,西安邮电大学雁塔校区,双枪充电,151.0,1.36,0.36,1,2023-02-06,星星充电,029-9402-7684,360,35334.00,60774.48,34.227100,108.957504,雁塔校区地下停车场
340,双枪充电-0340号桩,西安邮电大学东区,双枪充电,240.0,1.43,0.31,2,2025-12-03,国家电网,029-0671-2236,528,84902.40,147730.17,34.242401,108.933105,东区B区停车场
341,交流慢充-0341号桩,西安邮电大学西区,交流慢充,13.0,1.48,0.42,0,2021-10-09,云快充,029-4151-1703,92,813.28,1545.23,34.241100,108.928604,西区实验楼停车场
342,交流慢充-0342号桩,西安邮电大学雁塔校区,交流慢充,19.0,1.00,0.53,0,2021-11-07,国家电网,029-0292-7004,243,1615.95,2472.40,34.224003,108.954903,雁塔校区北门停车场
343,交流慢充-0343号桩,西安邮电大学东区,交流慢充,12.0,1.23,0.65,0,2022-09-26,国家电网,029-1590-9295,120,432.00,812.16,34.236401,108.934303,东区图书馆停车场
344,直流快充-0344号桩,西安邮电大学西区,直流快充,146.0,1.02,0.48,0,2025-08-24,云快充,029-0527-4917,498,31991.52,47987.28,34.242100,108.930801,西区实验楼停车场
345,直流快充-0345号桩,西安邮电大学雁塔校区,直流快充,161.0,1.47,0.34,0,2023-07-18,校园能源管理中心,029-0896-5875,356,17194.80,31122.59,34.224701,108.963600,雁塔校区地下停车场
346,交流慢充-0346号桩,西安邮电大学东区,交流慢充,18.0,1.59,0.41,1,2025-05-21,云快充,029-6361-2015,564,3553.20,7106.40,34.239403,108.931801,东区图书馆停车场
347,交流慢充-0347号桩,西安邮电大学西区,交流慢充,17.0,1.50,0.69,2,2021-04-26,星星充电,029-0092-1500,263,2637.89,5776.98,34.240303,108.932205,西区宿舍停车场
348,交流慢充-0348号桩,西安邮电大学雁塔校区,交流慢充,7.0,0.85,0.64,1,2021-12-17,校园能源管理中心,029-3321-5137,370,828.80,1234.91,34.221500,108.954803,雁塔校区地下停车场
349,交流慢充-0349号桩,西安邮电大学东区,交流慢充,22.0,1.38,0.34,1,2022-04-28,国家电网,029-4978-6402,234,1750.32,3010.55,34.239502,108.932304,东区图书馆停车场
350,直流快充-0350号桩,西安邮电大学西区,直流快充,145.0,0.98,0.68,0,2023-07-03,云快充,029-0247-6836,404,38662.80,64180.25,34.240002,108.926704,西区实验楼停车场
351,直流快充-0351号桩,西安邮电大学雁塔校区,直流快充,131.0,1.53,0.48,0,2021-07-04,特来电,029-4666-9916,484,23459.48,47153.55,34.222301,108.955505,雁塔校区北门停车场
352,双枪充电-0352号桩,西安邮电大学东区,双枪充电,175.0,0.93,0.30,1,2022-01-12,特来电,029-6524-4303,241,13917.75,17118.83,34.238602,108.934402,东区图书馆停车场
353,直流快充-0353号桩,西安邮电大学西区,直流快充,62.0,1.22,0.40,0,2022-01-28,国家电网,029-1581-1554,318,8280.72,13414.77,34.240700,108.930107,西区1号停车场
354,双枪充电-0354号桩,西安邮电大学雁塔校区,双枪充电,194.0,1.09,0.55,2,2021-02-28,特来电,029-2079-6603,481,67186.09,110185.19,34.224602,108.957306,雁塔校区北门停车场
355,交流慢充-0355号桩,西安邮电大学东区,交流慢充,18.0,1.17,0.42,1,2023-11-06,国家电网,029-1458-5470,431,3025.62,4810.74,34.242802,108.930901,东区体育场停车场
356,交流慢充-0356号桩,西安邮电大学西区,交流慢充,10.0,1.08,0.53,0,2022-10-19,云快充,029-8456-2975,117,397.80,640.46,34.237602,108.931900,西区1号停车场
357,直流快充-0357号桩,西安邮电大学雁塔校区,直流快充,84.0,1.13,0.38,0,2024-07-03,特来电,029-2273-3221,512,23224.32,35068.72,34.222801,108.955200,雁塔校区实验楼停车场
358,双枪充电-0358号桩,西安邮电大学东区,双枪充电,216.0,1.29,0.48,1,2022-05-01,校园能源管理中心,029-3903-7300,597,81239.76,143794.38,34.242500,108.930801,东区图书馆停车场
359,双枪充电-0359号桩,西安邮电大学西区,双枪充电,237.0,1.36,0.52,1,2022-03-03,特来电,029-1923-1010,305,48430.95,91050.20,34.234402,108.931007,西区实验楼停车场
360,交流慢充-0360号桩,西安邮电大学雁塔校区,交流慢充,16.0,1.48,0.58,0,2023-11-25,云快充,029-3821-8098,328,3568.64,7351.40,34.224602,108.959602,雁塔校区南门停车场
361,交流慢充-0361号桩,西安邮电大学东区,交流慢充,7.0,1.29,0.43,0,2025-09-26,云快充,029-2239-2442,209,950.95,1635.63,34.240101,108.935303,东区图书馆停车场
362,交流慢充-0362号桩,西安邮电大学西区,交流慢充,20.0,1.09,0.57,0,2025-04-16,星星充电,029-8617-1296,39,366.60,608.56,34.238403,108.933807,西区实验楼停车场
363,直流快充-0363号桩,西安邮电大学雁塔校区,直流快充,102.0,1.16,0.69,0,2024-11-12,云快充,029-9437-3000,585,28044.90,51883.07,34.222500,108.958405,雁塔校区学生服务中心
364,直流快充-0364号桩,西安邮电大学东区,直流快充,164.0,1.48,0.31,0,2021-04-10,星星充电,029-9244-7463,186,16167.12,28939.14,34.236603,108.928604,东区图书馆停车场
365,直流快充-0365号桩,西安邮电大学西区,直流快充,137.0,1.22,0.32,1,2025-04-28,特来电,029-7510-1106,280,28386.40,43715.06,34.243000,108.930504,西区行政楼停车场
366,直流快充-0366号桩,西安邮电大学雁塔校区,直流快充,102.0,1.45,0.34,1,2021-07-27,特来电,029-2732-4574,176,12745.92,22815.20,34.229500,108.955803,雁塔校区实验楼停车场
367,直流快充-0367号桩,西安邮电大学东区,直流快充,73.0,0.89,0.45,1,2021-11-23,校园能源管理中心,029-3761-1520,503,18359.50,24601.73,34.235500,108.931503,东区图书馆停车场
368,直流快充-0368号桩,西安邮电大学西区,直流快充,145.0,1.09,0.35,0,2025-09-19,校园能源管理中心,029-6660-5246,481,28595.45,41177.45,34.235703,108.933205,西区实验楼停车场
369,直流快充-0369号桩,西安邮电大学雁塔校区,直流快充,73.0,1.22,0.44,1,2023-06-14,云快充,029-6038-4715,581,18237.59,30274.40,34.220703,108.954201,雁塔校区地下停车场
370,交流慢充-0370号桩,西安邮电大学东区,交流慢充,20.0,1.58,0.65,0,2021-11-05,星星充电,029-9145-2270,526,7784.80,17360.11,34.239902,108.935501,东区图书馆停车场
371,双枪充电-0371号桩,西安邮电大学西区,双枪充电,128.0,1.33,0.36,0,2021-12-06,国家电网,029-5501-3035,539,44154.88,74621.74,34.238003,108.931404,西区2号停车场
372,直流快充-0372号桩,西安邮电大学雁塔校区,直流快充,113.0,1.09,0.46,0,2021-03-10,特来电,029-7157-4775,527,19651.83,30460.34,34.223202,108.963402,雁塔校区实验楼停车场
373,双枪充电-0373号桩,西安邮电大学东区,双枪充电,212.0,1.31,0.39,0,2023-01-18,星星充电,029-3855-3463,320,36633.60,62277.12,34.236103,108.935600,东区图书馆停车场
374,直流快充-0374号桩,西安邮电大学西区,直流快充,158.0,1.15,0.40,0,2021-11-06,星星充电,029-9903-7601,291,23908.56,37058.27,34.239403,108.931107,西区行政楼停车场
375,双枪充电-0375号桩,西安邮电大学雁塔校区,双枪充电,122.0,1.22,0.35,1,2022-05-09,校园能源管理中心,029-1651-7624,61,2232.60,3505.18,34.220100,108.962204,雁塔校区北门停车场
376,交流慢充-0376号桩,西安邮电大学东区,交流慢充,12.0,1.50,0.40,0,2021-09-09,国家电网,029-5439-4691,283,2241.36,4258.58,34.237602,108.935799,东区行政楼停车场
377,双枪充电-0377号桩,西安邮电大学西区,双枪充电,177.0,1.16,0.49,0,2021-08-18,云快充,029-1682-0085,554,38242.62,63100.32,34.241001,108.933403,西区实验楼停车场
378,直流快充-0378号桩,西安邮电大学雁塔校区,直流快充,86.0,1.44,0.38,0,2024-07-23,校园能源管理中心,029-5134-2933,190,10457.60,19032.83,34.223801,108.954102,雁塔校区北门停车场
379,双枪充电-0379号桩,西安邮电大学东区,双枪充电,238.0,1.03,0.33,0,2023-10-18,校园能源管理中心,029-5587-1751,382,48185.48,65532.25,34.238800,108.930702,东区B区停车场
380,直流快充-0380号桩,西安邮电大学西区,直流快充,149.0,1.35,0.66,0,2023-03-08,国家电网,029-8131-1089,493,52889.04,106306.98,34.242802,108.929306,西区宿舍停车场
381,直流快充-0381号桩,西安邮电大学雁塔校区,直流快充,129.0,0.93,0.58,0,2024-07-09,国家电网,029-2782-9238,354,34706.16,52406.30,34.223202,108.955704,雁塔校区北门停车场
382,直流快充-0382号桩,西安邮电大学东区,直流快充,60.0,0.85,0.59,0,2022-11-07,云快充,029-4118-9788,528,11721.60,16879.11,34.241802,108.927902,东区体育场停车场
383,双枪充电-0383号桩,西安邮电大学西区,双枪充电,162.0,1.24,0.30,0,2023-04-15,校园能源管理中心,029-1531-8265,133,7972.02,12276.91,34.240200,108.929604,西区实验楼停车场
384,双枪充电-0384号桩,西安邮电大学雁塔校区,双枪充电,194.0,1.45,0.59,1,2023-10-09,校园能源管理中心,029-4399-2609,286,29406.52,59989.29,34.228401,108.962502,雁塔校区地下停车场
385,双枪充电-0385号桩,西安邮电大学东区,双枪充电,188.0,1.10,0.51,0,2025-07-19,校园能源管理中心,029-7875-1960,544,64431.36,103734.49,34.233902,108.930099,东区A区停车场
386,双枪充电-0386号桩,西安邮电大学西区,双枪充电,209.0,1.46,0.32,0,2023-08-14,特来电,029-2519-7765,320,52835.20,94046.66,34.238602,108.929306,西区实验楼停车场
387,双枪充电-0387号桩,西安邮电大学雁塔校区,双枪充电,183.0,1.38,0.34,0,2023-01-27,国家电网,029-8397-0861,530,54314.40,93420.77,34.226002,108.954605,雁塔校区北门停车场
